year,team,division_rank,playoffs,attendance_game_avg,attendance_league_rank,est_payroll,ppf,bpf,stadium
1998,ARI,5,0,44571,2nd of 16,32347000.0,99,100,Bank One Ballpark
1999,ARI,1,1,37280,5th of 16,68703999.0,100,101,Bank One Ballpark
2000,ARI,3,0,36324,6th of 16,81027833.0,103,104,Bank One Ballpark
2001,ARI,1,2,33783,9th of 16,85082999.0,107,108,Bank One Ballpark
2002,ARI,1,1,39494,2nd of 16,102819999.0,110,111,Bank One Ballpark
2003,ARI,3,0,34636,5th of 16,80657000.0,109,108,Bank One Ballpark
2004,ARI,5,0,31106,8th of 16,69780750.0,106,105,Bank One Ballpark
2005,ARI,2,0,25425,12th of 16,62629166.0,104,103,Bank One Ballpark
2006,ARI,4,0,25823,14th of 16,59984226.0,105,105,Chase Field
2007,ARI,1,1,28707,12th of 16,52067546.0,107,107,Chase Field
2008,ARI,2,0,30987,11th of 16,66202712.0,107,107,Chase Field
2009,ARI,5,0,26281,11th of 16,75920666.0,106,105,Chase Field
2010,ARI,5,0,25391,13th of 16,61368166.0,105,105,Chase Field
2011,ARI,1,1,25993,12th of 16,54823166.0,103,103,Chase Field
2012,ARI,3,0,26884,13th of 16,67069833.0,103,103,Chase Field
2013,ARI,2,0,26357,14th of 15,80060500.0,103,102,Chase Field
2014,ARI,5,0,25602,14th of 15,89926500.0,102,102,"Chase Field, Sydney Cricket Grounds"
2015,ARI,3,0,25681,12th of 15,64434000.0,105,105,Chase Field
2016,ARI,4,0,25138,11th of 15,78399500.0,107,107,Chase Field
2017,ARI,2,1,26350,11th of 15,106580200.0,108,108,Chase Field
2018,ARI,3,0,27688,9th of 15,134850600.0,104,105,Chase Field
2019,ARI,2,0,26364,12th of 15,124016266.0,101,101,Chase Field
1995,ATL,1,2,35581,3rd of 14,47235445.0,101,103,Atlanta-Fulton County Stadium
1996,ATL,1,1,35818,3rd of 14,49698500.0,104,105,Atlanta-Fulton County Stadium
1997,ATL,1,1,42771,2nd of 14,52278500.0,99,102,Turner Field
1998,ATL,1,1,41492,3rd of 16,61186000.0,98,100,Turner Field
1999,ATL,1,1,40554,2nd of 16,73341000.0,98,99,Turner Field
2000,ATL,1,1,39930,4th of 16,84737836.0,99,100,Turner Field
2001,ATL,1,1,34858,6th of 16,91936166.0,102,103,Turner Field
2002,ATL,1,1,32142,8th of 16,93470367.0,101,102,Turner Field
2003,ATL,1,1,29643,7th of 16,106243667.0,100,101,Turner Field
2004,ATL,1,1,28735,10th of 16,90182500.0,99,101,Turner Field
2005,ATL,1,1,31126,10th of 16,86457302.0,100,101,Turner Field
2006,ATL,3,0,31488,9th of 16,90156876.0,99,100,Turner Field
2007,ATL,3,0,33891,10th of 16,87290833.0,98,98,Turner Field
2008,ATL,4,0,31270,10th of 16,102365683.0,97,98,Turner Field
2009,ATL,3,0,29304,10th of 16,99593166.0,98,99,Turner Field
2010,ATL,2,1,30989,9th of 16,84423666.0,97,98,Turner Field
2011,ATL,2,0,29296,8th of 16,93855132.0,100,101,Turner Field
2012,ATL,2,1,29879,8th of 16,86208000.0,101,102,Turner Field
2013,ATL,1,1,31465,8th of 15,95618750.0,100,101,Turner Field
2014,ATL,2,0,29065,11th of 15,108081500.0,97,98,Turner Field
2015,ATL,4,0,24709,13th of 15,104037500.0,98,97,Turner Field
2016,ATL,5,0,24950,12th of 15,74999750.0,99,98,"Turner Field, Fort Bragg Park"
