year,team,league,total_games,wins,losses,ties,season_win_loss_%,pythagorean_win_loss_%,division_finish,division_game_back,runs_for,runs_against,season_total_attendance,average_batter_age,average_pitcher_age,number_of_batters,number_of_pitchers,top_player,manager
2019,HOU,AL West,162,107,55,0,0.66,0.66,1st of 5,--,920,640,2857367,28.9,29.9,45,26,A.Bregman (8.4),A.Hinch (107-55)
2018,HOU,AL West,162,103,59,0,0.636,0.675,1st of 5,--,797,534,2980549,28.1,30,41,22,A.Bregman (6.9),A.Hinch (103-59)
2017,HOU,AL West,162,101,61,0,0.623,0.611,1st of 5,--,896,700,2403671,28.8,28.5,46,27,J.Altuve (8.1),A.Hinch (101-61)
2016,HOU,AL West,162,84,78,0,0.519,0.515,3rd of 5,11,724,701,2306623,26.4,28.9,43,23,J.Altuve (7.7),A.Hinch (84-78)
2015,HOU,AL West,162,86,76,0,0.531,0.575,2nd of 5,2,729,618,2153585,26.3,29.4,46,24,D.Keuchel (6.7),A.Hinch (86-76)
2014,HOU,AL West,162,70,92,0,0.432,0.437,4th of 5,28,629,723,1751829,25.4,27.9,48,28,J.Altuve (6.1),B.Porter (59-79) and T.Lawless (11-13)
2013,HOU,AL West,162,51,111,0,0.315,0.354,5th of 5,45,610,848,1651883,25.9,27.2,50,26,J.Castro (4.1),B.Porter (51-111)
2012,HOU,NL Central,162,55,107,0,0.34,0.362,6th of 6,42,583,794,1607733,26.6,27.2,50,26,L.Harrell (3.1),B.Mills (39-82) and T.DeFrancesco (16-25)
2011,HOU,NL Central,162,56,106,0,0.346,0.384,6th of 6,40,615,796,2067016,28.2,27.2,47,23,C.Lee (3.9),B.Mills (56-106)
2010,HOU,NL Central,162,76,86,0,0.469,0.42,4th of 6,15,611,729,2331490,29.5,29.6,48,25,M.Bourn (5.5),B.Mills (76-86)
2009,HOU,NL Central,162,74,88,0,0.457,0.418,5th of 6,17,643,770,2521076,31.6,31.2,42,22,M.Bourn (5.0),C.Cooper (70-79) and D.Clark (4-9)
2008,HOU,NL Central,161,86,75,0,0.534,0.481,3rd of 6,11,712,743,2779487,31.1,30.9,41,20,L.Berkman (6.9),C.Cooper (86-75)
2007,HOU,NL Central,162,73,89,0,0.451,0.447,4th of 6,12,723,813,3020405,31.4,30.2,41,21,R.Oswalt (6.6),P.Garner (58-73) and C.Cooper (15-16)
2006,HOU,NL Central,162,82,80,0,0.506,0.51,2nd of 6,1.5,735,719,3022763,30.5,29.8,39,19,L.Berkman (6.0),P.Garner (82-80)
2005,HOU,NL Central,163,89,73,1,0.549,0.559,2nd of 6,11,693,609,2804760,30.3,30.3,36,17,R.Clemens (8.2),P.Garner (89-73)
2004,HOU,NL Central,162,92,70,0,0.568,0.564,2nd of 6,13,803,698,3087872,31.7,29.6,42,23,L.Berkman (6.0),J.Williams (44-44) and P.Garner (48-26)
2003,HOU,NL Central,162,87,75,0,0.537,0.579,2nd of 6,1,805,677,2454241,31.1,27.6,44,23,R.Hidalgo (5.7),J.Williams (87-75)
2002,HOU,NL Central,162,84,78,0,0.519,0.534,2nd of 6,13,749,695,2517357,30.1,27.3,41,21,R.Oswalt (6.9),J.Williams (84-78)
2001,HOU,NL Central,162,93,69,0,0.574,0.544,1st of 6,--,847,769,2904277,30.3,28.4,45,25,L.Berkman (6.5),L.Dierker (93-69)
2000,HOU,NL Central,162,72,90,0,0.444,0.497,4th of 6,23,938,944,3056139,29.1,28,46,23,R.Hidalgo (6.3),L.Dierker (72-90)
1999,HOU,NL Central,162,97,65,0,0.599,0.59,1st of 6,--,823,675,2706017,29.8,27.4,38,15,M.Hampton (7.9),L.Dierker (84-51) and M.Galante (13-14)
1998,HOU,NL Central,162,102,60,0,0.63,0.652,1st of 6,--,874,620,2458451,29.7,27.8,38,18,C.Biggio (6.5),L.Dierker (102-60)
1997,HOU,NL Central,162,84,78,0,0.519,0.574,1st of 5,--,777,660,2046781,28.8,27,41,18,C.Biggio (9.4),L.Dierker (84-78)
1996,HOU,NL Central,162,82,80,0,0.506,0.477,2nd of 5,6,753,792,1975888,28.2,28.5,43,22,J.Bagwell (7.5),T.Collins (82-80)
1995,HOU,NL Central,144,76,68,0,0.528,0.547,2nd of 5,9,747,674,1363801,28.1,27.9,44,19,C.Biggio (6.3),T.Collins (76-68)
2019,TEX,AL West,162,78,84,0,0.481,0.463,3rd of 5,29,810,878,2132994,28.8,28.3,53,36,M.Minor (7.6),C.Woodward (78-84)
2018,TEX,AL West,162,67,95,0,0.414,0.436,5th of 5,36,737,848,2107107,27.4,30.4,50,32,M.Minor (3.8),J.Banister (64-88) and D.Wakamatsu (3-7)
2017,TEX,AL West,162,78,84,0,0.481,0.49,3rd of 5,23,799,816,2507760,28.4,28.8,51,31,A.Cashner (4.6),J.Banister (78-84)
2016,TEX,AL West,162,95,67,0,0.586,0.505,1st of 5,--,765,757,2710402,28.4,28.8,52,31,A.Beltre (6.5),J.Banister (95-67)
2015,TEX,AL West,162,88,74,0,0.543,0.511,1st of 5,--,751,733,2491875,28.7,28.1,57,31,A.Beltre (5.9),J.Banister (88-74)
2014,TEX,AL West,162,67,95,0,0.414,0.412,5th of 5,31,637,773,2718733,28.4,27.9,64,41,A.Beltre (6.7),R.Washington (53-87) and T.Bogar (14-8)
2013,TEX,AL West,163,91,72,0,0.558,0.563,2nd of 5,5.5,730,636,3178273,29.6,27.9,46,25,A.Beltre (5.6),R.Washington (91-72)
2012,TEX,AL West,162,93,69,0,0.574,0.561,2nd of 4,1,808,707,3460280,29.7,28.8,39,21,A.Beltre (7.2),R.Washington (93-69)
2011,TEX,AL West,162,96,66,0,0.593,0.605,1st of 4,--,855,677,2946949,29.1,28.8,45,25,I.Kinsler (7.0),R.Washington (96-66)
2010,TEX,AL West,162,90,72,0,0.556,0.562,1st of 4,--,787,687,2505171,28.3,27.6,48,22,J.Hamilton (8.7),R.Washington (90-72)
2009,TEX,AL West,162,87,75,0,0.537,0.526,2nd of 4,10,784,740,2156016,27.8,27.7,44,23,I.Kinsler (6.0),R.Washington (87-75)
2008,TEX,AL West,162,79,83,0,0.488,0.468,2nd of 4,21,901,967,1945677,27.7,28.1,55,30,J.Hamilton (5.5),R.Washington (79-83)
2007,TEX,AL West,162,75,87,0,0.463,0.485,4th of 4,19,816,844,2353862,29.4,27.7,50,25,I.Kinsler (4.1),R.Washington (75-87)
2006,TEX,AL West,162,80,82,0,0.494,0.529,3rd of 4,13,835,784,2388757,28.4,28.3,51,26,G.Matthews (5.2),B.Showalter (80-82)
2005,TEX,AL West,162,79,83,0,0.488,0.504,3rd of 4,16,865,858,2525221,27.9,30.5,50,30,M.Teixeira (7.2),B.Showalter (79-83)
2004,TEX,AL West,162,89,73,0,0.549,0.536,3rd of 4,3,860,794,2513685,27.7,30.6,52,30,R.Drese (5.1),B.Showalter (89-73)
2003,TEX,AL West,162,71,91,0,0.438,0.427,4th of 4,25,826,969,2094394,28.4,28.1,52,27,A.Rodriguez (8.4),B.Showalter (71-91)
2002,TEX,AL West,162,72,90,0,0.444,0.479,4th of 4,31,843,882,2352397,29,29.7,51,27,A.Rodriguez (8.8),J.Narron (72-90)
2001,TEX,AL West,162,73,89,0,0.451,0.462,4th of 4,43,890,968,2831021,29.9,28.5,51,25,A.Rodriguez (8.3),J.Oates (11-17) and J.Narron (62-72)
2000,TEX,AL West,162,71,91,0,0.438,0.437,4th of 4,20.5,848,974,2588401,29.5,28.7,42,19,K.Rogers (5.1),J.Oates (71-91)
1999,TEX,AL West,162,95,67,0,0.586,0.544,1st of 4,--,945,859,2771469,30.8,30.1,38,20,I.Rodriguez (6.4),J.Oates (95-67)
1998,TEX,AL West,162,88,74,0,0.543,0.535,1st of 4,--,940,871,2927399,29.9,29.9,42,21,I.Rodriguez (6.4),J.Oates (88-74)
1997,TEX,AL West,162,77,85,0,0.475,0.491,3rd of 4,13,807,823,2945228,28.3,29.7,44,20,I.Rodriguez (6.5),J.Oates (77-85)
1996,TEX,AL West,163,90,72,1,0.556,0.568,1st of 4,--,928,799,2889020,29.4,30.5,39,17,K.Hill (6.6),J.Oates (90-72)
1995,TEX,AL West,144,74,70,0,0.514,0.481,3rd of 4,4.5,691,720,1985910,29.1,30.6,46,22,K.Rogers (5.8),J.Oates (74-70)
2019,SEA,AL West,162,68,94,0,0.42,0.426,5th of 5,39,758,893,1791863,27.8,28.6,67,42,M.Gonzales (3.4),S.Servais (68-94)
2018,SEA,AL West,162,89,73,0,0.549,0.478,3rd of 5,14,677,711,2299489,29.8,29,53,32,M.Haniger (6.1),S.Servais (89-73)
2017,SEA,AL West,162,78,84,0,0.481,0.487,3rd of 5,23,750,772,2135445,29.6,27.8,61,40,N.Cruz (4.3),S.Servais (78-84)
2016,SEA,AL West,162,86,76,0,0.531,0.538,2nd of 5,9,768,707,2267928,30.5,28.8,54,32,R.Cano (7.3),S.Servais (86-76)
2015,SEA,AL West,162,76,86,0,0.469,0.454,4th of 5,12,656,726,2193581,28.6,28.6,51,28,N.Cruz (5.1),L.McClendon (76-86)
2014,SEA,AL West,162,87,75,0,0.537,0.561,3rd of 5,11,634,554,2064334,27.5,29,44,20,R.Cano (6.4),L.McClendon (87-75)
2013,SEA,AL West,162,71,91,0,0.438,0.414,4th of 5,25,624,754,1761546,28.6,28,47,22,H.Iwakuma (7.2),E.Wedge (71-91)
2012,SEA,AL West,162,75,87,0,0.463,0.477,4th of 4,19,619,651,1721920,27,27.9,38,18,F.Hernandez (5.3),E.Wedge (75-87)
2011,SEA,AL West,162,67,95,0,0.414,0.412,4th of 4,29,556,675,1896321,29.3,26.8,47,21,B.Ryan (4.2),E.Wedge (67-95)
2010,SEA,AL West,162,61,101,0,0.377,0.363,4th of 4,29,513,698,2085630,29.6,27.1,47,22,F.Hernandez (7.1),D.Wakamatsu (42-70) and D.Brown (19-31)
2009,SEA,AL West,162,85,77,0,0.525,0.464,3rd of 4,12,640,692,2195533,29.9,27.4,46,20,F.Gutierrez (6.6),D.Wakamatsu (85-77)
2008,SEA,AL West,162,61,101,0,0.377,0.414,4th of 4,39,671,811,2329702,29.7,28.5,44,22,A.Beltre (5.6),J.McLaren (25-47) and J.Riggleman (36-54)
2007,SEA,AL West,162,88,74,0,0.543,0.489,2nd of 4,6,794,813,2672223,29.9,28.1,44,23,I.Suzuki (5.8),M.Hargrove (45-33) and J.McLaren (43-41)
2006,SEA,AL West,162,78,84,0,0.481,0.479,4th of 4,15,756,792,2481165,28.7,28,49,25,A.Beltre (5.4),M.Hargrove (78-84)
2005,SEA,AL West,162,69,93,0,0.426,0.467,4th of 4,26,699,751,2725459,28.7,31.4,48,21,I.Suzuki (3.9),M.Hargrove (69-93)
2004,SEA,AL West,162,63,99,0,0.389,0.425,4th of 4,29,698,823,2940731,31.6,30.4,48,23,I.Suzuki (9.2),B.Melvin (63-99)
2003,SEA,AL West,162,93,69,0,0.574,0.6,2nd of 4,3,795,637,3268509,32,29.8,37,18,B.Boone (5.9),B.Melvin (93-69)
2002,SEA,AL West,162,93,69,0,0.574,0.569,3rd of 4,10,814,699,3542938,31.2,30.2,40,19,J.Moyer (5.6),L.Piniella (93-69)
2001,SEA,AL West,162,116,46,0,0.716,0.672,1st of 4,--,927,627,3507326,31.4,30.8,35,15,B.Boone (8.8),L.Piniella (116-46)
2000,SEA,AL West,162,91,71,0,0.562,0.569,2nd of 4,0.5,907,780,2914624,31.4,29.3,37,16,A.Rodriguez (10.4),L.Piniella (91-71)
1999,SEA,AL West,162,79,83,0,0.488,0.476,3rd of 4,16,859,905,2916346,29.3,28.2,51,28,J.Moyer (6.6),L.Piniella (79-83)
1998,SEA,AL West,161,76,85,0,0.472,0.502,3rd of 4,11.5,859,855,2651511,29.8,31.3,47,20,A.Rodriguez (8.5),L.Piniella (76-85)
1997,SEA,AL West,162,90,72,0,0.556,0.548,1st of 4,--,925,833,3192237,29.3,30.4,47,24,K.Griffey (9.1),L.Piniella (90-72)
1996,SEA,AL West,161,85,76,0,0.528,0.547,2nd of 4,4.5,993,895,2723850,28.7,27.8,49,25,K.Griffey (9.7),L.Piniella (85-76)
1995,SEA,AL West,145,79,66,0,0.545,0.553,1st of 4,--,796,708,1643203,28.8,28.8,46,24,R.Johnson (8.6),L.Piniella (79-66)
2019,OAK,AL West,162,97,65,0,0.599,0.598,2nd of 5,10,845,680,1662211,27.8,30.8,49,28,M.Semien (8.1),B.Melvin (97-65)
